URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,26,5,0.677419333,0.063265306,490,0.320408163,196.1281633,490,157,490,827,1,3133
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,52,31,0.253012045,0.122238586,679,1.192930781,272.0771723,679,810,679,1375,0,5115
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,35,23,0.206896548,0.094771242,612,1.406862745,245.3627451,612,861,612,1363,0,5048
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,35,70,-0.33333333,0.178268251,589,1.436332767,236.1745331,589,846,589,1234,0,4713
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,18,8,0.38461537,0.07761194,335,1.967164179,134.7868657,335,659,335,658,0,2628
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,83,24,0.551401864,0.103381642,1035,0.353623188,414.1414493,1035,366,1035,2000,0,8297
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,29,59,-0.340909087,0.133738602,658,0.188449848,263.2753799,658,124,658,1320,0,4732
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,26,9,0.485714272,0.074626866,469,1.639658849,188.2558635,469,769,469,910,0,3813
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,34,49,-0.180722889,0.142367067,583,0.550600343,233.4202401,583,321,583,1200,0,4715
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,127,173,-0.153333333,0.179856115,1668,0.432853717,667.3731415,1668,722,1668,3000,0,13170
